conversation_id,timestamp,username,question,is_synthetic,test_run_id,evaluation_id,response_side,model_name,score_accuracy,score_completeness,score_detail,score_usefulness,score_satisfaction,comment,rubric_version,created_at,cost,response_time
1,2026-02-15 11:13:42,ตุลาการศาลปกครอง - ศาลปกครอง,ศาลปกครองพิจารณาคดีประเภทใด?,0,,1,left,Claude 4 Sonnet,3,3,3,3,3,,five-dimension-v1,2026-07-19 17:30:21,0.238385,8.649115562438965
1,2026-02-15 11:13:42,ตุลาการศาลปกครอง - ศาลปกครอง,ศาลปกครองพิจารณาคดีประเภทใด?,0,,2,right,Gemini 3 Pro,4,4,4,5,4,,five-dimension-v1,2026-07-19 17:30:21,0.2734608333333333,20.154337882995605
2,2026-03-06 05:50:54,เจ้าหน้าที่ศาลปกครอง (ชำนาญการ) - สำนักส่งเสริมงานคดีปกครอง,ศาลสามารถกำหนดค่าเสียหายทางจิตใจให้แก่ผู้ฟ้องคดีได้หรือไม่,0,,3,left,Claude 4 Sonnet,3,2,2,2,2,,five-dimension-v1,2026-07-19 17:30:21,0.269325,8.539389848709106
2,2026-03-06 05:50:54,เจ้าหน้าที่ศาลปกครอง (ชำนาญการ) - สำนักส่งเสริมงานคดีปกครอง,ศาลสามารถกำหนดค่าเสียหายทางจิตใจให้แก่ผู้ฟ้องคดีได้หรือไม่,0,,4,right,Gemini 3 Pro,3,3,3,3,3,,five-dimension-v1,2026-07-19 17:30:21,0.3252783333333333,23.518936157226562
6,2026-03-09 03:40:47,พนักงานคดีปกครอง (ชำนาญการพิเศษ) - สำนักส่งเสริมงานคดีปกครอง,กทม จ้างเอกชนสร้างทาง ไม่ติดป้ายเตือน เกิดอุบัติเหตุ ฟ้องศาลปกครองได้ไหม,0,,5,left,Claude 4 Sonnet,3,3,3,3,3,,five-dimension-v1,2026-07-19 17:30:21,0.31192,12.289507389068604
6,2026-03-09 03:40:47,พนักงานคดีปกครอง (ชำนาญการพิเศษ) - สำนักส่งเสริมงานคดีปกครอง,กทม จ้างเอกชนสร้างทาง ไม่ติดป้ายเตือน เกิดอุบัติเหตุ ฟ้องศาลปกครองได้ไหม,0,,6,right,Gemini 3 Pro,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.35753666666666667,24.644490003585815
32,2026-05-06 06:54:38,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ขั้นตอนการยื่นฟ้องคดีปกครอง?,0,,7,left,Claude 4 Sonnet,4,4,4,3,4,,five-dimension-v1,2026-07-19 17:30:21,0.236285,10.608976602554321
32,2026-05-06 06:54:38,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ขั้นตอนการยื่นฟ้องคดีปกครอง?,0,,8,right,Gemini Pro,2,1,2,2,2,,five-dimension-v1,2026-07-19 17:30:21,0.16415000000000002,3.0016932487487793
33,2026-05-06 06:58:52,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ระยะเวลาฟ้องคดี?,0,,9,left,Claude 4 Sonnet,3,2,2,3,3,,five-dimension-v1,2026-07-19 17:30:21,0.33362,18.407194137573242
33,2026-05-06 06:58:52,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ระยะเวลาฟ้องคดี?,0,,10,right,Gemini Pro,3,2,2,3,3,,five-dimension-v1,2026-07-19 17:30:21,0.2579033333333333,7.52613091468811
34,2026-05-06 07:01:33,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ค่าธรรมเนียมศาล?,0,,11,left,Claude 4 Sonnet,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.28497,18.557199478149414
34,2026-05-06 07:01:33,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ค่าธรรมเนียมศาล?,0,,12,right,Gemini Pro,1,1,1,1,1,,five-dimension-v1,2026-07-19 17:30:21,0.1532475,9.318479299545288
35,2026-05-06 07:03:13,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,การอุทธรณ์ทำอย่างไร?,0,,13,left,Claude 4 Sonnet,3,4,4,3,4,,five-dimension-v1,2026-07-19 17:30:21,0.26320000000000005,14.96197509765625
35,2026-05-06 07:03:13,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,การอุทธรณ์ทำอย่างไร?,0,,14,right,Gemini Pro,4,4,3,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.24483666666666665,34.731842279434204
36,2026-05-06 07:07:28,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ผมมีภูมิลำเนาอยู่ที่กรุงเทพมหานคร สัญญาพิพาททำที่นครศรีธรรมราช ต้องฟ้องคดีที่ศาลปกครองไหน,0,,15,left,Claude 4 Sonnet,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.29939,16.664363145828247
36,2026-05-06 07:07:28,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ผมมีภูมิลำเนาอยู่ที่กรุงเทพมหานคร สัญญาพิพาททำที่นครศรีธรรมราช ต้องฟ้องคดีที่ศาลปกครองไหน,0,,16,right,Gemini Pro,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.22780916666666667,8.041472911834717
37,2026-05-06 07:14:24,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,การฟ้องคดีขอให้ศาลเพิกถอนคำสั่งไล่ออกจากราชการต้องฟ้องคดีภายในกี่วัน,0,,17,left,Claude 4 Sonnet,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.31535,17.790966033935547
37,2026-05-06 07:14:24,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,การฟ้องคดีขอให้ศาลเพิกถอนคำสั่งไล่ออกจากราชการต้องฟ้องคดีภายในกี่วัน,0,,18,right,Gemini Pro,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.23054499999999997,12.705046653747559
38,2026-05-06 07:22:01,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ค่าธรรมเนียมศาล,0,,19,left,Claude 4 Sonnet,4,4,0,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.358435,20.006696224212646
38,2026-05-06 07:22:01,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ค่าธรรมเนียมศาล,0,,20,right,Gemini Pro,4,4,5,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.37382916666666666,15.674159526824951
39,2026-05-06 07:26:02,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,การฟ้องขอให้ศาลเพิกถอนคำสั่งไล่ออกจากราชการต้องเสียค่าธรรมเนียมศาลหรือไม่,0,,21,left,Claude 4 Sonnet,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.32592,15.087538480758667
39,2026-05-06 07:26:02,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,การฟ้องขอให้ศาลเพิกถอนคำสั่งไล่ออกจากราชการต้องเสียค่าธรรมเนียมศาลหรือไม่,0,,22,right,Gemini Pro,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.23356666666666667,5.1624414920806885
40,2026-05-06 07:28:27,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ฟ้องคดีพิพาทเกี่ยวกับสัญญาทางปกครอง ขอให้ผู้ถูกฟ้องคดีชดใช้เงิน 300000 บาท ต้องเสียค่าธรรมเนียมศาลเท่าไร,0,,23,left,Claude 4 Sonnet,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.31797500000000006,16.067739009857178
40,2026-05-06 07:28:27,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ฟ้องคดีพิพาทเกี่ยวกับสัญญาทางปกครอง ขอให้ผู้ถูกฟ้องคดีชดใช้เงิน 300000 บาท ต้องเสียค่าธรรมเนียมศาลเท่าไร,0,,24,right,Gemini Pro,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.30061499999999997,7.312700033187866
41,2026-05-06 07:34:37,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,นาย ก ยืมเงินแล้วไม่คืน นำคดีมาฟ้องต่อศาลปกครองได้หรือไม่,0,,25,left,Claude 4 Sonnet,4,3,3,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.2429,13.479890823364258
41,2026-05-06 07:34:37,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,นาย ก ยืมเงินแล้วไม่คืน นำคดีมาฟ้องต่อศาลปกครองได้หรือไม่,0,,26,right,Gemini Pro,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.22727833333333333,8.791078805923462
42,2026-05-06 07:38:25,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ผมถูกทำร้ายร่างกาย ขอให้ศาลลงโทษ และให้ชดใช้ค่าเสียหาย นำคดีมาฟ้องต่อศาลปกครองได้หรือไม่,0,,27,left,Claude 4 Sonnet,4,4,4,5,4,,five-dimension-v1,2026-07-19 17:30:21,0.31997000000000003,20.211090803146362
42,2026-05-06 07:38:25,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ผมถูกทำร้ายร่างกาย ขอให้ศาลลงโทษ และให้ชดใช้ค่าเสียหาย นำคดีมาฟ้องต่อศาลปกครองได้หรือไม่,0,,28,right,Gemini Pro,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.29828750000000004,11.853655815124512
43,2026-05-06 07:41:19,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ข้อพิพาทเกี่ยวกับสัญญาทางปกครอง ต้องฟ้องคดีภายในระยะเวลาเท่าใด,0,,29,left,Claude 4 Sonnet,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.30499,18.209003686904907
43,2026-05-06 07:41:19,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,ข้อพิพาทเกี่ยวกับสัญญาทางปกครอง ต้องฟ้องคดีภายในระยะเวลาเท่าใด,0,,30,right,Gemini Pro,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.24773583333333332,4.784406423568726
44,2026-05-06 07:43:40,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,สัญญาก่อสร้างอาคารที่ทำการศาลยุติธรรม ต้องฟ้องคดีภายในระยะเวลาเท่าใด,0,,31,left,Claude 4 Sonnet,5,5,5,5,0,,five-dimension-v1,2026-07-19 17:30:21,0.32119500000000006,18.072685956954956
44,2026-05-06 07:43:40,พนักงานคดีปกครอง (เชี่ยวชาญ) - สำนักงานศาลปกครองกลาง,สัญญาก่อสร้างอาคารที่ทำการศาลยุติธรรม ต้องฟ้องคดีภายในระยะเวลาเท่าใด,0,,32,right,Gemini Pro,3,3,3,3,3,,five-dimension-v1,2026-07-19 17:30:21,0.25132916666666666,26.694812774658203
45,2026-05-06 08:19:47,เจ้าหน้าที่ศาลปกครอง (ปฏิบัติการ) - สำนักงานศาลปกครองในภูมิภาค,การถอนฟ้อง,0,,33,left,Claude 4 Sonnet,0,0,0,0,0,,five-dimension-v1,2026-07-19 17:30:21,0.28962499999999997,20.868207693099976
45,2026-05-06 08:19:47,เจ้าหน้าที่ศาลปกครอง (ปฏิบัติการ) - สำนักงานศาลปกครองในภูมิภาค,การถอนฟ้อง,0,,34,right,Gemini Pro,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.23185166666666668,6.249483585357666
46,2026-05-06 08:22:34,เจ้าหน้าที่ศาลปกครอง (ปฏิบัติการ) - สำนักงานศาลปกครองในภูมิภาค,ขยายเวลาอุทรคำพิพากสาได้รึไหม,0,,35,left,Claude 4 Sonnet,5,5,5,5,5,ดาวมองไม่เห็น,five-dimension-v1,2026-07-19 17:30:21,0.30838499999999996,17.01170587539673
46,2026-05-06 08:22:34,เจ้าหน้าที่ศาลปกครอง (ปฏิบัติการ) - สำนักงานศาลปกครองในภูมิภาค,ขยายเวลาอุทรคำพิพากสาได้รึไหม,0,,36,right,Gemini Pro,5,5,5,5,5,ดาวมองไม่เห็น,five-dimension-v1,2026-07-19 17:30:21,0.25382,7.582117080688477
47,2026-05-06 09:05:52,พนักงานคดีปกครอง (ปฏิบัติการ) - ศาลปกครอง,คดีที่รับโอนมายังศาลปกครองจำเป็นต้องทำหนังสือมอบอำนาจใหม่หรือไม่,0,,37,left,Claude 4 Sonnet,4,2,3,4,3,,five-dimension-v1,2026-07-19 17:30:21,0.300965,18.842010498046875
47,2026-05-06 09:05:52,พนักงานคดีปกครอง (ปฏิบัติการ) - ศาลปกครอง,คดีที่รับโอนมายังศาลปกครองจำเป็นต้องทำหนังสือมอบอำนาจใหม่หรือไม่,0,,38,right,Gemini Pro,4,3,3,4,3,,five-dimension-v1,2026-07-19 17:30:21,0.2507166666666667,10.897295475006104
48,2026-05-06 09:07:41,พนักงานคดีปกครอง (ปฏิบัติการ) - ศาลปกครอง,การนับระยะเวลาการฟ้องคดีนับอย่างไร,0,,39,left,Claude 4 Sonnet,2,2,2,2,2,,five-dimension-v1,2026-07-19 17:30:21,0.3644550000000001,20.19281840324402
48,2026-05-06 09:07:41,พนักงานคดีปกครอง (ปฏิบัติการ) - ศาลปกครอง,การนับระยะเวลาการฟ้องคดีนับอย่างไร,0,,40,right,Gemini Pro,0,0,0,0,0,,five-dimension-v1,2026-07-19 17:30:21,0.24838916666666666,0.29070448875427246
56,2026-05-07 04:00:45,พนักงานคดีปกครอง (ชำนาญการ) - สำนักงานศาลปกครองในภูมิภาค,ระยะเวลาการพิจารณาคดีปกครอง,0,,41,left,Claude 4 Sonnet,0,0,0,0,0,การฟ้องคดีกรณีคำสั่งทางปกครอง หากกฎหมายเฉพาะกำหนดระยะเวลาการฟ้องคดีในกรณีที่ได้รับแจ้งผลการพิจารณาอุทธรณ์แล้วไม่พอใจไว้อย่างไร ก็ต้องฟ้องคดีตามระยะเวลาที่กำหนดไว้ เช่น ตาม พ.ร.บ. ควบคุมอาคาร พ.ศ. 2522 มาตรา 52 กำหนดระยะเวลาการฟ้องคดีไว้ 30 วัน เป็นต้น,five-dimension-v1,2026-07-19 17:30:21,0.367465,20.634408950805664
56,2026-05-07 04:00:45,พนักงานคดีปกครอง (ชำนาญการ) - สำนักงานศาลปกครองในภูมิภาค,ระยะเวลาการพิจารณาคดีปกครอง,0,,42,right,Gemini Pro,0,0,0,0,0,การฟ้องคดีกรณีคำสั่งทางปกครอง หากกฎหมายเฉพาะกำหนดระยะเวลาการฟ้องคดีในกรณีที่ได้รับแจ้งผลการพิจารณาอุทธรณ์แล้วไม่พอใจไว้อย่างไร ก็ต้องฟ้องคดีตามระยะเวลาที่กำหนดไว้ เช่น ตาม พ.ร.บ. ควบคุมอาคาร พ.ศ. 2522 มาตรา 52 กำหนดระยะเวลาการฟ้องคดีไว้ 30 วัน เป็นต้น,five-dimension-v1,2026-07-19 17:30:21,0.2506758333333333,0.1601707935333252
64,2026-05-08 11:29:18,เจ้าหน้าที่ศาลปกครอง (ชำนาญการพิเศษ) - สำนักงานศาลปกครองในภูมิภาค,ขั้นตอนการยื่นฟ้องคดีปกครอง?,0,,43,left,Claude 4 Sonnet,0,0,0,0,0,,five-dimension-v1,2026-07-19 17:30:21,0.27216,13.622166395187378
64,2026-05-08 11:29:18,เจ้าหน้าที่ศาลปกครอง (ชำนาญการพิเศษ) - สำนักงานศาลปกครองในภูมิภาค,ขั้นตอนการยื่นฟ้องคดีปกครอง?,0,,44,right,Gemini Pro,0,0,0,0,0,,five-dimension-v1,2026-07-19 17:30:21,0.17052,3.7096545696258545
68,2026-05-11 05:45:29,เจ้าหน้าที่ศาลปกครอง (ชำนาญการ) - สำนักงานศาลปกครองในภูมิภาค,การขอทุเลาการบังคับคืออะไร?,0,,45,left,Claude 4 Sonnet,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.28797999999999996,13.546454191207886
68,2026-05-11 05:45:29,เจ้าหน้าที่ศาลปกครอง (ชำนาญการ) - สำนักงานศาลปกครองในภูมิภาค,การขอทุเลาการบังคับคืออะไร?,0,,46,right,Gemini Pro,5,5,5,5,5,,five-dimension-v1,2026-07-19 17:30:21,0.21286416666666666,3.4541730880737305
69,2026-05-11 05:46:53,เจ้าหน้าที่ศาลปกครอง (ชำนาญการ) - สำนักงานศาลปกครองในภูมิภาค,ศาลปกครองพิจารณาคดีประเภทใด?,0,,47,left,Claude 4 Sonnet,4,4,0,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.373835,22.157075881958008
69,2026-05-11 05:46:53,เจ้าหน้าที่ศาลปกครอง (ชำนาญการ) - สำนักงานศาลปกครองในภูมิภาค,ศาลปกครองพิจารณาคดีประเภทใด?,0,,48,right,Gemini Pro,3,3,3,3,3,,five-dimension-v1,2026-07-19 17:30:21,0.20853583333333336,6.741449594497681
70,2026-05-11 05:48:45,เจ้าหน้าที่ศาลปกครอง (ชำนาญการ) - สำนักงานศาลปกครองในภูมิภาค,ขั้นตอนการยื่นฟ้องคดีปกครอง?,0,,49,left,Claude 4 Sonnet,4,4,4,4,4,,five-dimension-v1,2026-07-19 17:30:21,0.24695999999999999,11.796011447906494
70,2026-05-11 05:48:45,เจ้าหน้าที่ศาลปกครอง (ชำนาญการ) - สำนักงานศาลปกครองในภูมิภาค,ขั้นตอนการยื่นฟ้องคดีปกครอง?,0,,50,right,Gemini Pro,3,3,3,3,3,,five-dimension-v1,2026-07-19 17:30:21,0.16415000000000002,3.5706474781036377
73,2026-05-12 01:58:05,พนักงานคดีปกครอง (ชำนาญการพิเศษ) - สำนักงานศาลปกครองในภูมิภาค,ขั้นตอนการยื่นฟ้องคดีปกครอง?,0,,51,left,Claude 4 Sonnet,3,1,2,2,2,,five-dimension-v1,2026-07-19 17:30:21,0.277235,13.113901615142822
73,2026-05-12 01:58:05,พนักงานคดีปกครอง (ชำนาญการพิเศษ) - สำนักงานศาลปกครองในภูมิภาค,ขั้นตอนการยื่นฟ้องคดีปกครอง?,0,,52,right,Gemini Pro,2,1,1,1,2,,five-dimension-v1,2026-07-19 17:30:21,0.16574250000000001,4.571819067001343
